Player ID,Player Name,median_pScore,iqr_mean_pScore,total_maps_played,num_appearances
11912607,diablorex1234,0.7360457344056894,0.7314016074426888,47,8
9630674,Freek,0.7233386273156489,0.7214623212528095,39,11
24649329,Mahiru-No-Yo,0.7224102948480411,0.7099723170193626,25,8
14888056,oliverq,0.721780929162602,0.7038752357881626,41,11
7420894,Mr_adamello,0.7168145048624741,0.6817046279785389,35,8
10395139,Ricizus,0.7134250976177593,0.7446708691785242,101,20
11771029,soutin,0.7062454032820126,0.6923525496356453,34,9
11392859,erase,0.7052159330280215,0.7247928629626845,18,8
6761832,Namirin-chan,0.7048553317988149,0.7213418931117694,50,11
10944966,Outlasted,0.703190262042622,0.6804281472059746,26,8
17641994,MidRed,0.6950257453888007,0.6515865338563036,34,8
4381142,NightNarumi,0.6942449130987153,0.7086002868816655,26,10
3807675,Kiraz,0.6905588144400133,0.6954740209303197,42,11
12297375,Adam Yuuki,0.687766621774223,0.7005032457521879,84,21
12093536,[GS]linc,0.6765068754964907,0.6654332339614152,51,14
19554046,Shadow_GM,0.6633639784097247,0.6989077165746486,29,9
17036270,Holo the Wise,0.6589360283690379,0.6479588337968847,40,11
17483369,souffle_03,0.6564990112062344,0.6284357328918263,65,13
10450696,Lerck,0.6473181012771012,0.7015420474912405,35,9
13579078,Joylintp,0.6408559209142393,0.6788032088149561,22,10
21873512,YtAlbin0,0.6407314327945788,0.5953306290194567,32,8
12545346,ERA Fisu,0.6260432926151013,0.6727809245215813,46,9
16011592,banan,0.6168112908688932,0.6206133774192332,45,12
17480973,ERA Frossno,0.6108909858970382,0.6446114364949274,46,8
10055648,Miaurichesu,0.5292151680930274,0.49148761177811967,36,9
9066390,Satsukel,0.3916024440826313,0.4233781153134275,15,8
